case,step,time_ps,x_nm,surface_z_nm
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,0.94055,-1.33818
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,1.14055,-1.3525
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,1.34055,-1.2182
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,1.54055,-1.35451
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,1.74055,-1.0893
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,1.94055,-1.34802
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,2.14055,-1.21857
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,2.34055,-1.08045
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,2.54055,-1.562015
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,2.74055,-1.202
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,2.94055,-1.478155
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,3.14055,-1.082075
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,3.34055,-1.441075
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,3.54055,-1.21153
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,3.74055,-1.34779
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,3.94055,-1.0849
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,4.14055,-1.354975
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,4.34055,-1.22302
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,4.54055,-1.352445
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,4.74055,-1.33087
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,4.94055,-1.34098
fluence_0p5_20ps_free_surface_ablation_debug,2000,1,5.14055,-0.771035
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-5.05945,-1.33123
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-4.85945,-1.17114
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-4.65945,-1.479
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-4.45945,-1.06015
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-4.25945,-1.344455
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-4.05945,-1.19874
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-3.85945,-1.340165
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-3.65945,-1.069355
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-3.45945,-1.33634
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-3.25945,-1.199125
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-3.05945,-1.339175
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-2.85945,-1.1911
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-2.65945,-1.33359
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-2.45945,-1.19438
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-2.25945,-1.47362
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-2.05945,-1.0642
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-1.85945,-1.465935
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-1.65945,-1.17818
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-1.45945,-1.33038
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-1.25945,-1.330975
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-1.05945,-1.0656
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-0.85945,-1.468155
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-0.65945,-1.07766
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-0.45945,-1.35802
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-0.25945,-1.19229
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,-0.05945,-1.33084
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,0.14055,-1.06235
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,0.34055,-1.3338
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,0.54055,-1.195055
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,0.74055,-1.33266
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,0.94055,-1.3331
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,1.14055,-1.3417
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,1.34055,-1.1899
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,1.54055,-1.4657
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,1.74055,-1.06738
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,1.94055,-1.4725
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,2.14055,-1.0809
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,2.34055,-1.2139
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,2.54055,-1.3473
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,2.74055,-1.13236
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,2.94055,-1.45808
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,3.14055,-1.07156
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,3.34055,-1.45796
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,3.54055,-1.20425
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,3.74055,-1.33758
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,3.94055,-1.14998
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,4.14055,-1.3416
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,4.34055,-1.20902
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,4.54055,-1.33623
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,4.74055,-1.32543
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,4.94055,-1.3346
fluence_0p5_20ps_free_surface_ablation_debug,3000,1.5,5.14055,-1.18958
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,-5.05945,-1.30395
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,-4.85945,-1.1868
fluence_0p5_20ps_free_surface_ablation_debug,4000,2,-4.65945,-1.3144
