case,marker_id,element_id,center_r_um,center_height_above_surface_um,vx_m_s,vy_m_s,layer_id
ep_5p0uj_ejecta_8500ms,119,7479,15.000000,0.955000,134.185220,1002.687220,3
ep_5p0uj_ejecta_8500ms,120,7480,15.600000,0.955000,114.734695,824.370080,3
ep_5p0uj_ejecta_8500ms,121,7481,16.200000,0.955000,97.209093,672.579974,3
ep_5p0uj_ejecta_8500ms,122,7482,16.800000,0.955000,81.618356,544.541037,3
ep_5p0uj_ejecta_8500ms,123,7483,17.400000,0.955000,67.917151,437.504240,3
ep_5p0uj_ejecta_8500ms,124,7484,18.000000,0.955000,56.016935,348.818000,3
ep_5p0uj_ejecta_8500ms,125,7485,0.000000,1.205000,0.000000,11900.000000,4
ep_5p0uj_ejecta_8500ms,126,7486,0.600000,1.205000,58.924236,11854.396426,4
ep_5p0uj_ejecta_8500ms,127,7487,1.200000,1.205000,116.498789,11718.631610,4
ep_5p0uj_ejecta_8500ms,128,7488,1.800000,1.205000,171.425370,11495.803388,4
ep_5p0uj_ejecta_8500ms,129,7489,2.400000,1.205000,222.505744,11190.944022,4
ep_5p0uj_ejecta_8500ms,130,7490,3.000000,1.205000,268.685114,10810.831278,4
ep_5p0uj_ejecta_8500ms,131,7491,3.600000,1.205000,309.088031,10363.738012,4
ep_5p0uj_ejecta_8500ms,132,7492,4.200000,1.205000,343.045151,9859.133161,4
ep_5p0uj_ejecta_8500ms,133,7493,4.800000,1.205000,370.109735,9307.349218,4
ep_5p0uj_ejecta_8500ms,134,7494,5.400000,1.205000,390.063468,8719.232459,4
ep_5p0uj_ejecta_8500ms,135,7495,6.000000,1.205000,402.911799,8105.792343,4
ep_5p0uj_ejecta_8500ms,136,7496,6.600000,1.205000,408.869635,7477.865702,4
ep_5p0uj_ejecta_8500ms,137,7497,7.200000,1.205000,408.338733,6845.809646,4
ep_5p0uj_ejecta_8500ms,138,7498,7.800000,1.205000,401.878536,6219.234710,4
ep_5p0uj_ejecta_8500ms,139,7499,8.400000,1.205000,390.172443,5606.786841,4
ep_5p0uj_ejecta_8500ms,140,7500,9.000000,1.205000,373.991632,5015.983670,4
ep_5p0uj_ejecta_8500ms,141,7501,9.600000,1.205000,354.158482,4453.107228,4
ep_5p0uj_ejecta_8500ms,142,7502,10.200000,1.205000,331.511498,3923.152243,4
ep_5p0uj_ejecta_8500ms,143,7503,10.800000,1.205000,306.873339,3429.826417,4
ep_5p0uj_ejecta_8500ms,144,7504,11.400000,1.205000,281.023219,2975.596852,4
ep_5p0uj_ejecta_8500ms,145,7505,12.000000,1.205000,254.674533,2561.775161,4
ep_5p0uj_ejecta_8500ms,146,7506,12.600000,1.205000,228.458177,2188.632784,4
ep_5p0uj_ejecta_8500ms,147,7507,13.200000,1.205000,202.911637,1855.537606,4
ep_5p0uj_ejecta_8500ms,148,7508,13.800000,1.205000,178.473582,1561.103118,4
ep_5p0uj_ejecta_8500ms,149,7509,14.400000,1.205000,155.483442,1303.342004,4
ep_5p0uj_ejecta_8500ms,150,7510,15.000000,1.205000,134.185220,1079.817006,4
ep_5p0uj_ejecta_8500ms,151,7511,15.600000,1.205000,114.734695,887.783163,4
ep_5p0uj_ejecta_8500ms,152,7512,16.200000,1.205000,97.209093,724.316895,4
ep_5p0uj_ejecta_8500ms,153,7513,16.800000,1.205000,81.618356,586.428809,4
ep_5p0uj_ejecta_8500ms,154,7514,17.400000,1.205000,67.917151,471.158412,4
ep_5p0uj_ejecta_8500ms,155,7515,18.000000,1.205000,56.016935,375.650154,4
ep_5p0uj_ejecta_8500ms,156,7516,0.000000,1.455000,0.000000,12750.000000,5
ep_5p0uj_ejecta_8500ms,157,7517,0.600000,1.455000,58.924236,12701.139028,5
ep_5p0uj_ejecta_8500ms,158,7518,1.200000,1.455000,116.498789,12555.676725,5
