case,step,time_ps,natoms,thermo_temp_K,mean_atom_temperature_K,max_atom_temperature_K,melt_like_atom_count,vap_like_atom_count,surface_z_A,surface_lift_nm,ejecta_atoms,plume_front_height_nm,max_stress_proxy_eV,min_stress_proxy_eV,log_pressure,max_electron_temperature_K,mean_electron_temperature_K,min_electron_temperature_K
fluence_0p5_100ps,690000,68.9999,12416,3920.9058,4179.0951,34008.51,8773,5551,139.404,0.8442,0,0.8442,14809367,-10960577,755.80574,4207.446,4190.7523,4179.2583
fluence_0p5_100ps,700000,69.9999,12416,3960.2204,4220.9985,32796.38,8764,5505,139.141,0.8179,0,0.8179,17483333,-9288360,929.87075,4213.9081,4196.6284,4177.2567
fluence_0p5_100ps,710000,70.9999,12416,3955.7962,4216.2829,29184.744,8772,5503,139.512,0.855,0,0.855,13731600,-11825800,1797.494,4216.31,4201.7803,4192.1441
fluence_0p5_100ps,720000,71.9999,12416,3937.1059,4196.362,34227.139,8690,5382,138.061,0.7099,0,0.7099,14024447,-9657250,350.38993,4214.2016,4200.6165,4185.6129
fluence_0p5_100ps,730000,72.9999,12416,3933.365,4192.3748,33514.158,8732,5496,138.78,0.7818,0,0.7818,14835100,-10079783,90.360276,4214.5987,4197.5423,4184.9507
fluence_0p5_100ps,740000,73.9999,12416,3910.5931,4168.1034,27434.938,8693,5397,139.555,0.8593,0,0.8593,14217433,-10005143,-369.18809,4210.4236,4197.8469,4188.9132
fluence_0p5_100ps,750000,74.9999,12416,3898.9644,4155.7088,31524.989,8776,5399,139.001,0.8039,0,0.8039,14620467,-10011883,-766.29925,4214.6285,4201.7444,4188.2398
fluence_0p5_100ps,760000,75.9999,12416,3905.8125,4163.0081,39194.028,8761,5445,139.914,0.8952,0,0.8952,16399233,-11086090,-840.52419,4221.6368,4206.8929,4194.6063
fluence_0p5_100ps,770000,76.9999,12416,3963.7348,4224.7445,30954.433,8800,5569,140.618,0.9656,0,0.9656,16770667,-10075023,-1019.3037,4227.6516,4210.9067,4196.5111
fluence_0p5_100ps,780000,77.9999,12416,3968.9837,4230.339,32642.891,8786,5517,140.174,0.9212,0,0.9212,12410467,-10437880,843.90075,4224.5936,4210.8919,4194.8479
fluence_0p5_100ps,790000,78.9999,12416,3971.693,4233.2267,31207.412,8820,5547,141.204,1.0242,1,1.0242,14448400,-9879580,1212.7937,4230.367,4212.8532,4199.0129
fluence_0p5_100ps,800000,79.9999,12416,3948.337,4208.3326,31355.253,8730,5487,139.762,0.88,0,0.88,14553967,-11024570,415.9413,4228.1008,4213.1482,4199.8973
fluence_0p5_100ps,810000,80.9999,12416,3960.6004,4221.4036,34227.294,8703,5484,139.199,0.8237,0,0.8237,14386693,-9547210,54.578352,4220.3022,4211.9544,4193.7651
fluence_0p5_100ps,820000,81.9999,12416,3975.4845,4237.2679,27322.683,8826,5538,139.741,0.8779,0,0.8779,13239237,-9570746.7,-1186.1697,4228.0309,4213.8374,4201.2256
fluence_0p5_100ps,830000,82.9999,12416,3956.332,4216.8544,29845.351,8774,5485,141.495,1.0533,1,1.0533,14722900,-10226043,-195.6832,4230.5244,4218.555,4204.1345
fluence_0p5_100ps,840000,83.9999,12416,3951.2576,4211.4457,33895.946,8784,5522,142.547,1.1585,3,1.1585,17652733,-10932633,-152.6984,4244.0235,4224.1252,4209.1216
fluence_0p5_100ps,850000,84.9999,12416,3936.6081,4195.8315,28642.891,8799,5467,140.436,0.9474,0,0.9474,15895000,-10858733,-1422.9267,4238.4108,4224.9147,4203.0952
fluence_0p5_100ps,860000,85.9999,12416,3975.8103,4237.6152,37130.745,8777,5560,141.239,1.0277,0,1.0277,16147200,-9413303.3,-962.20931,4240.531,4224.382,4202.2776
fluence_0p5_100ps,870000,86.9999,12416,3996.3643,4259.5225,29805.354,8804,5516,140.74,0.9778,0,0.9778,15439800,-10016900,-1012.0943,4247.0096,4226.7343,4215.6191
fluence_0p5_100ps,880000,87.9999,12416,3995.4082,4258.5036,33194.647,8779,5549,140.973,1.0011,1,1.0011,16903300,-10165337,52.096956,4243.6252,4227.7243,4217.6201
fluence_0p5_100ps,890000,88.9999,12416,3991.1044,4253.9163,31339.084,8803,5499,140.676,0.9714,0,0.9714,14891333,-10220323,405.58233,4246.2115,4230.8508,4215.23
fluence_0p5_100ps,900000,89.9999,12416,3984.4155,4246.7868,35242.457,8799,5494,140.224,0.9262,0,0.9262,14839567,-10513380,608.58716,4246.0901,4231.3251,4218.125
fluence_0p5_100ps,910000,90.9999,12416,3995.6248,4258.7343,33311.233,8813,5591,140.21,0.9248,0,0.9248,14405300,-9807623.3,-33.981547,4255.8306,4232.7462,4219.9148
fluence_0p5_100ps,920000,91.9999,12416,3966.9572,4228.1791,28550.441,8772,5511,143.19,1.2228,0,1.2228,13864767,-11155500,75.969035,4243.9306,4231.0561,4217.5886
fluence_0p5_100ps,930000,92.9999,12416,3983.9531,4246.2941,29037.599,8762,5553,143.571,1.2609,2,1.2609,14707253,-11132033,-96.606256,4245.9859,4231.5939,4217.0176
fluence_0p5_100ps,940000,93.9999,12416,3959.2952,4220.0125,28592.914,8763,5507,144.883,1.3921,4,1.3921,14166803,-9983210,-309.75689,4242.2995,4230.7502,4220.5039
fluence_0p5_100ps,950000,94.9999,12416,3982.2396,4244.4675,28513.616,8795,5495,154.909,2.3947,3,2.3947,14329400,-10122507,526.5205,4245.5365,4232.0268,4216.08
fluence_0p5_100ps,960000,95.9999,12416,3933.7292,4192.763,32505.88,8786,5519,165.885,3.4923,2,3.4923,15455767,-10681493,881.43614,4245.4264,4223.6259,4207.0782
fluence_0p5_100ps,970000,96.9999,12416,3917.2132,4175.1595,32255.3,8793,5540,173.697,4.2735,2,4.2735,13828800,-9719226.7,-26.294769,4239.4324,4221.6973,4207.3229
fluence_0p5_100ps,980000,97.9999,12416,3960.9312,4221.7564,39857.033,8739,5494,172.753,4.1791,1,4.1791,13489567,-10285533,802.74906,4247.4453,4228.1876,4220.7344
fluence_0p5_100ps,990000,98.9999,12416,3985.0366,4247.449,30576.358,8802,5509,172.396,4.1434,1,4.1434,16492400,-10061547,248.31442,4241.6121,4227.3246,4214.6235
fluence_0p5_100ps,1000000,99.9999,12416,3972.3163,4233.891,26570.246,8711,5516,174.722,4.376,1,4.376,12952567,-10477287,-172.578,4237.1903,4226.3238,4202.9992
fluence_0p5_100ps,1010000,100.9999,12416,3925.5496,4184.0449,41757.311,8752,5347,172.882,4.192,1,4.192,14330200,-10052673,-338.14301,4240.3892,4228.5284,4216.1735
fluence_0p5_100ps,1020000,101.9999,12416,3925.4793,4183.9698,30812.394,8755,5469,170.628,3.9666,1,3.9666,14014067,-9574963.3,142.66721,4243.7822,4229.629,4219.5547
