case,step,time_ps,depth_mid_nm,atom_count,mean_atom_temperature_K,mean_stress_proxy_eV
fluence_0p5_100ps,40000,3.9999,0.130962,251,665.54813,-160945.2
fluence_0p5_100ps,50000,4.9999,12.965238,256,,-422.535
fluence_0p5_100ps,50000,4.9999,12.703314,256,,-562.99379
fluence_0p5_100ps,50000,4.9999,12.44139,256,,-22292.919
fluence_0p5_100ps,50000,4.9999,12.179466,256,856.96886,103370.62
fluence_0p5_100ps,50000,4.9999,11.917542,256,754.48663,111386.7
fluence_0p5_100ps,50000,4.9999,11.655618,256,795.01333,74068.282
fluence_0p5_100ps,50000,4.9999,11.393694,256,685.94391,77877.258
fluence_0p5_100ps,50000,4.9999,11.13177,256,696.91316,67328.243
fluence_0p5_100ps,50000,4.9999,10.869846,256,768.39482,23594.858
fluence_0p5_100ps,50000,4.9999,10.607922,255,780.36767,80538.607
fluence_0p5_100ps,50000,4.9999,10.345998,249,705.15331,-7977.0989
fluence_0p5_100ps,50000,4.9999,10.084074,237,717.33965,88809.872
fluence_0p5_100ps,50000,4.9999,9.82215,204,674.09566,76235.255
fluence_0p5_100ps,50000,4.9999,9.560226,218,793.43792,115566.56
fluence_0p5_100ps,50000,4.9999,9.298302,246,776.17224,103154.73
fluence_0p5_100ps,50000,4.9999,9.036378,255,702.11507,118641.85
fluence_0p5_100ps,50000,4.9999,8.774454,256,770.31752,143230.88
fluence_0p5_100ps,50000,4.9999,8.51253,256,768.00875,59216.55
fluence_0p5_100ps,50000,4.9999,8.250606,256,743.39357,-47670.069
fluence_0p5_100ps,50000,4.9999,7.988682,256,722.71809,-28492.218
fluence_0p5_100ps,50000,4.9999,7.726758,256,730.7569,50243.347
fluence_0p5_100ps,50000,4.9999,7.464834,256,734.67966,110557.35
fluence_0p5_100ps,50000,4.9999,7.20291,256,787.65414,91879.394
fluence_0p5_100ps,50000,4.9999,6.940986,248,800.39053,88048.175
fluence_0p5_100ps,50000,4.9999,6.679062,203,787.28135,-25911.502
fluence_0p5_100ps,50000,4.9999,6.417138,210,786.49584,2713.6011
fluence_0p5_100ps,50000,4.9999,6.155214,239,722.89924,89602.586
fluence_0p5_100ps,50000,4.9999,5.89329,252,806.143,119565.81
fluence_0p5_100ps,50000,4.9999,5.631366,256,733.77449,13395.35
fluence_0p5_100ps,50000,4.9999,5.369442,256,702.35379,-102216.31
fluence_0p5_100ps,50000,4.9999,5.107518,256,808.89776,28783.677
fluence_0p5_100ps,50000,4.9999,4.845594,256,779.52092,44449.908
fluence_0p5_100ps,50000,4.9999,4.58367,256,777.34783,-9498.6646
fluence_0p5_100ps,50000,4.9999,4.321746,256,746.35925,-129792.41
fluence_0p5_100ps,50000,4.9999,4.059822,248,810.65404,132271.84
fluence_0p5_100ps,50000,4.9999,3.797898,244,768.3467,105543.8
fluence_0p5_100ps,50000,4.9999,3.535974,212,769.2866,-19231.884
fluence_0p5_100ps,50000,4.9999,3.27405,209,770.03746,-45202.72
fluence_0p5_100ps,50000,4.9999,3.012126,240,773.97554,61176.788
fluence_0p5_100ps,50000,4.9999,2.750202,255,696.64726,69442.519
fluence_0p5_100ps,50000,4.9999,2.488278,256,767.52223,59761.236
fluence_0p5_100ps,50000,4.9999,2.226354,256,794.66937,-11078.536
fluence_0p5_100ps,50000,4.9999,1.96443,256,768.87965,12686.7
fluence_0p5_100ps,50000,4.9999,1.702506,256,776.8386,48820.261
fluence_0p5_100ps,50000,4.9999,1.440582,256,738.15017,150917.13
fluence_0p5_100ps,50000,4.9999,1.178658,256,724.60651,108116.49
fluence_0p5_100ps,50000,4.9999,0.916734,253,794.63919,116657.99
fluence_0p5_100ps,50000,4.9999,0.65481,240,793.3963,-10678.749
fluence_0p5_100ps,50000,4.9999,0.392886,212,826.83046,-3833.5635
fluence_0p5_100ps,50000,4.9999,0.130962,251,764.71371,-201868.38
fluence_0p5_100ps,60000,5.9999,12.965238,256,,-422.535
fluence_0p5_100ps,60000,5.9999,12.703314,256,,-528.15419
fluence_0p5_100ps,60000,5.9999,12.44139,256,,32839.287
fluence_0p5_100ps,60000,5.9999,12.179466,257,980.79172,150149.04
fluence_0p5_100ps,60000,5.9999,11.917542,255,854.83336,-29022.224
fluence_0p5_100ps,60000,5.9999,11.655618,256,969.51875,55447.655
fluence_0p5_100ps,60000,5.9999,11.393694,256,1013.2356,51825.054
fluence_0p5_100ps,60000,5.9999,11.13177,256,891.70674,27271.134
fluence_0p5_100ps,60000,5.9999,10.869846,256,981.96192,-37219.652
fluence_0p5_100ps,60000,5.9999,10.607922,254,988.58568,212442.01
fluence_0p5_100ps,60000,5.9999,10.345998,242,1093.0869,20458.606
fluence_0p5_100ps,60000,5.9999,10.084074,216,1084.1677,-45877.922
fluence_0p5_100ps,60000,5.9999,9.82215,218,916.75311,216589.77
fluence_0p5_100ps,60000,5.9999,9.560226,238,1017.8547,127056.53
fluence_0p5_100ps,60000,5.9999,9.298302,243,936.94921,188291.5
fluence_0p5_100ps,60000,5.9999,9.036378,253,862.40144,119327.48
fluence_0p5_100ps,60000,5.9999,8.774454,256,905.31595,96649.223
fluence_0p5_100ps,60000,5.9999,8.51253,256,919.98319,22659.596
fluence_0p5_100ps,60000,5.9999,8.250606,256,919.64438,83277.801
fluence_0p5_100ps,60000,5.9999,7.988682,256,884.7544,31236.294
fluence_0p5_100ps,60000,5.9999,7.726758,256,927.71834,44794.187
fluence_0p5_100ps,60000,5.9999,7.464834,254,898.4787,74968.974
fluence_0p5_100ps,60000,5.9999,7.20291,243,881.42555,-61298.24
fluence_0p5_100ps,60000,5.9999,6.940986,222,903.06555,87033.922
fluence_0p5_100ps,60000,5.9999,6.679062,212,1002.7433,80307.674
fluence_0p5_100ps,60000,5.9999,6.417138,229,887.25768,-6136.7174
fluence_0p5_100ps,60000,5.9999,6.155214,251,962.78101,169626.68
fluence_0p5_100ps,60000,5.9999,5.89329,253,988.81241,46380.413
fluence_0p5_100ps,60000,5.9999,5.631366,256,935.20478,-71043.774
fluence_0p5_100ps,60000,5.9999,5.369442,256,948.04311,-4821.6876
fluence_0p5_100ps,60000,5.9999,5.107518,256,1037.9035,232504.14
fluence_0p5_100ps,60000,5.9999,4.845594,256,1017.3705,112017.35
fluence_0p5_100ps,60000,5.9999,4.58367,255,976.28161,53915.832
fluence_0p5_100ps,60000,5.9999,4.321746,253,877.73943,115315.05
fluence_0p5_100ps,60000,5.9999,4.059822,242,1042.9947,261674.8
fluence_0p5_100ps,60000,5.9999,3.797898,237,1033.226,99194.527
fluence_0p5_100ps,60000,5.9999,3.535974,219,921.20242,138102.49
fluence_0p5_100ps,60000,5.9999,3.27405,212,867.85931,21984.882
fluence_0p5_100ps,60000,5.9999,3.012126,249,977.23128,24984.495
fluence_0p5_100ps,60000,5.9999,2.750202,253,898.03934,22971.323
fluence_0p5_100ps,60000,5.9999,2.488278,256,908.8934,25054.109
fluence_0p5_100ps,60000,5.9999,2.226354,256,1005.863,147705.91
fluence_0p5_100ps,60000,5.9999,1.96443,256,1027.2079,29848.661
fluence_0p5_100ps,60000,5.9999,1.702506,256,954.30406,173122
fluence_0p5_100ps,60000,5.9999,1.440582,256,908.32123,-18509.747
fluence_0p5_100ps,60000,5.9999,1.178658,254,948.7841,61049.509
fluence_0p5_100ps,60000,5.9999,0.916734,246,1004.3646,46022.804
fluence_0p5_100ps,60000,5.9999,0.65481,228,980.88534,48810.523
fluence_0p5_100ps,60000,5.9999,0.392886,216,932.89092,-816.79218
fluence_0p5_100ps,60000,5.9999,0.130962,248,1002.2842,-195995.64
fluence_0p5_100ps,70000,6.9999,12.965238,256,,-422.535
fluence_0p5_100ps,70000,6.9999,12.703314,256,,-535.11874
fluence_0p5_100ps,70000,6.9999,12.44139,256,,35214.365
fluence_0p5_100ps,70000,6.9999,12.179466,256,1239.3793,207954.15
fluence_0p5_100ps,70000,6.9999,11.917542,256,1219.0674,108228.05
fluence_0p5_100ps,70000,6.9999,11.655618,256,1113.6936,64157.353
fluence_0p5_100ps,70000,6.9999,11.393694,256,1123.8842,229580.97
fluence_0p5_100ps,70000,6.9999,11.13177,256,1188.1253,16700.48
fluence_0p5_100ps,70000,6.9999,10.869846,256,1105.3747,134517.55
fluence_0p5_100ps,70000,6.9999,10.607922,254,1088.7874,62867.302
fluence_0p5_100ps,70000,6.9999,10.345998,242,1129.3652,86016.98
fluence_0p5_100ps,70000,6.9999,10.084074,223,1215.9226,72997.463
fluence_0p5_100ps,70000,6.9999,9.82215,216,1256.3654,212313.1
fluence_0p5_100ps,70000,6.9999,9.560226,233,1116.973,58745.262
fluence_0p5_100ps,70000,6.9999,9.298302,244,1097.6985,71298.439
fluence_0p5_100ps,70000,6.9999,9.036378,252,1123.879,31500.005
fluence_0p5_100ps,70000,6.9999,8.774454,256,1174.4807,65255.798
fluence_0p5_100ps,70000,6.9999,8.51253,256,1177.9781,48528.856
fluence_0p5_100ps,70000,6.9999,8.250606,256,1155.4028,162906.14
fluence_0p5_100ps,70000,6.9999,7.988682,256,1133.0112,101246.42
fluence_0p5_100ps,70000,6.9999,7.726758,256,1144.7829,233492.45
fluence_0p5_100ps,70000,6.9999,7.464834,254,1134.5467,52745.759
fluence_0p5_100ps,70000,6.9999,7.20291,243,1119.8863,159477.09
fluence_0p5_100ps,70000,6.9999,6.940986,239,1130.0195,320706.95
fluence_0p5_100ps,70000,6.9999,6.679062,207,1182.2579,-47970.277
fluence_0p5_100ps,70000,6.9999,6.417138,223,1325.3846,-60208.581
fluence_0p5_100ps,70000,6.9999,6.155214,243,1083.9641,-92562.163
fluence_0p5_100ps,70000,6.9999,5.89329,255,1119.6637,153776.36
fluence_0p5_100ps,70000,6.9999,5.631366,256,1153.7459,-33138.541
fluence_0p5_100ps,70000,6.9999,5.369442,256,1152.1468,71234.872
fluence_0p5_100ps,70000,6.9999,5.107518,256,1158.9028,99360.579
fluence_0p5_100ps,70000,6.9999,4.845594,256,1172.5251,217290.58
fluence_0p5_100ps,70000,6.9999,4.58367,255,1174.9235,95314.437
fluence_0p5_100ps,70000,6.9999,4.321746,253,1182.3179,90120.873
fluence_0p5_100ps,70000,6.9999,4.059822,241,1129.8387,153770.58
fluence_0p5_100ps,70000,6.9999,3.797898,213,1230.9318,-42930.447
fluence_0p5_100ps,70000,6.9999,3.535974,215,1185.5816,-80518.661
fluence_0p5_100ps,70000,6.9999,3.27405,236,1049.7829,144994.13
fluence_0p5_100ps,70000,6.9999,3.012126,253,1165.3513,92746.244
fluence_0p5_100ps,70000,6.9999,2.750202,254,1308.6885,52378.415
fluence_0p5_100ps,70000,6.9999,2.488278,256,1075.7723,11367.27
fluence_0p5_100ps,70000,6.9999,2.226354,256,1131.6407,58225.541
fluence_0p5_100ps,70000,6.9999,1.96443,256,1179.1883,-34323.881
fluence_0p5_100ps,70000,6.9999,1.702506,256,1087.045,246135.55
fluence_0p5_100ps,70000,6.9999,1.440582,255,1127.0206,107462.91
fluence_0p5_100ps,70000,6.9999,1.178658,242,1090.9197,-54239.427
fluence_0p5_100ps,70000,6.9999,0.916734,228,1233.0715,1628.2312
fluence_0p5_100ps,70000,6.9999,0.65481,217,1093.0262,135524.5
fluence_0p5_100ps,70000,6.9999,0.392886,228,1084.4562,115936.93
fluence_0p5_100ps,70000,6.9999,0.130962,265,1229.0313,-136224.39
fluence_0p5_100ps,80000,7.9999,12.965238,256,,-422.535
fluence_0p5_100ps,80000,7.9999,12.703314,256,,-530.30688
fluence_0p5_100ps,80000,7.9999,12.44139,258,2011.9121,65481.238
fluence_0p5_100ps,80000,7.9999,12.179466,255,1312.7075,41064.598
fluence_0p5_100ps,80000,7.9999,11.917542,255,1387.8852,85242.274
fluence_0p5_100ps,80000,7.9999,11.655618,256,1318.328,145809.7
fluence_0p5_100ps,80000,7.9999,11.393694,256,1338.5788,196544.82
fluence_0p5_100ps,80000,7.9999,11.13177,256,1302.0092,47596.851
fluence_0p5_100ps,80000,7.9999,10.869846,256,1342.1124,39752.095
fluence_0p5_100ps,80000,7.9999,10.607922,245,1293.9007,126867.09
fluence_0p5_100ps,80000,7.9999,10.345998,239,1329.1788,-107045.11
fluence_0p5_100ps,80000,7.9999,10.084074,213,1357.6458,106836.19
fluence_0p5_100ps,80000,7.9999,9.82215,227,1363.5208,133682.13
fluence_0p5_100ps,80000,7.9999,9.560226,234,1423.6361,246792.34
fluence_0p5_100ps,80000,7.9999,9.298302,250,1310.6193,189027.59
fluence_0p5_100ps,80000,7.9999,9.036378,256,1335.0648,202456.9
fluence_0p5_100ps,80000,7.9999,8.774454,256,1340.0879,930.96383
fluence_0p5_100ps,80000,7.9999,8.51253,256,1233.3478,63182.878
fluence_0p5_100ps,80000,7.9999,8.250606,256,1400.3038,6118.3021
fluence_0p5_100ps,80000,7.9999,7.988682,256,1323.5259,89969.493
fluence_0p5_100ps,80000,7.9999,7.726758,254,1371.5431,203103.77
fluence_0p5_100ps,80000,7.9999,7.464834,244,1319.1401,127612.76
fluence_0p5_100ps,80000,7.9999,7.20291,235,1474.204,150890.18
fluence_0p5_100ps,80000,7.9999,6.940986,223,1326.1596,117336.76
fluence_0p5_100ps,80000,7.9999,6.679062,220,1403.6785,79255.66
fluence_0p5_100ps,80000,7.9999,6.417138,237,1340.7777,39162.259
fluence_0p5_100ps,80000,7.9999,6.155214,251,1316.4629,138015.37
fluence_0p5_100ps,80000,7.9999,5.89329,256,1440.841,24240.653
fluence_0p5_100ps,80000,7.9999,5.631366,256,1420.8887,63592.653
fluence_0p5_100ps,80000,7.9999,5.369442,256,1356.7643,44725.922
