case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_lift_nm,surface_z_p95_global_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,crater_depth_center_nm,rim_lift_nm,rho_mean_surface,rho_p10_surface,low_density_atoms_0p7,low_density_atoms_0p3,mean_vz_surface_A_ps,p95_vz_surface_A_ps,upward_atoms,fast_upward_atoms,outward_flux_A_ps,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_component_count,detached_atom_count,largest_detached_cluster_size,surface_atom_T_mean_K,surface_atom_T_p95_K,atom_T_max_proxy_K,melt_like_atom_count,vapor_like_atom_count,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,thermo_pe_eV,thermo_ke_eV,thermo_total_eV,pressure_proxy_mean_GPa,pressure_proxy_p01_GPa,pressure_proxy_p99_GPa
fluence_0p5_100ps,300000,27.9999,0.0731,-0.2220625,-0.1983525,-0.2473825,-0.245605,0.0017775,-0.2692425,1.5759754,1.0655416,367,45,0.72679727,16.61928,1271,121,10241.711,2182,0,0,0,0,0,12416,0,0,0,3160.3016,8369.2094,23771.778,7589,3889,3837.5842,3847.4848,3855.7678,3867.2229,2930.6841,-44036.718,4703.0584,-39333.659,-0.052069914,-31.895403,38.258125
fluence_0p5_100ps,310000,28.9999,0.2108,-0.1754975,-0.1539325,-0.2251125,-0.161995,0.0631175,-0.1856325,1.5768419,1.0655416,389,44,0.57707386,16.7984,1305,124,10515.859,2193,0,0,0,0,0,12415,0,0,0,3254.811,8818.8613,22370.107,7697,4007,3871.9031,3879.2719,3887.5684,3899.9102,3013.1639,-43821.648,4835.4191,-38986.229,-0.29255993,-32.952245,38.156838
fluence_0p5_100ps,320000,29.9999,0.4156,-0.1295225,-0.0882625,-0.1679825,-0.1044075,0.063575,-0.128045,1.5243578,1.0655416,401,43,0.37173971,16.45532,1289,126,10185.271,2313,0,0,0,0,0,12416,0,0,0,3306.887,8611.3261,23610.32,7855,4185,3897.7184,3908.7007,3917.9647,3933.6511,3081.9151,-43605.01,4945.7486,-38659.261,-0.2325634,-32.954803,38.349944
fluence_0p5_100ps,330000,30.9999,0.4153,-0.19321,-0.1182025,-0.2387525,-0.2088425,0.02991,-0.23248,1.5303193,1.0655416,372,47,0.13647582,16.36741,1289,127,9932.4662,2331,0,0,0,0,0,12414,0,0,0,3484.6926,9225.4836,34284.156,7858,4260,3915.2236,3929.0042,3934.0027,3944.255,3141.9912,-43485.403,5042.1566,-38443.246,-0.22783919,-33.605536,38.700599
fluence_0p5_100ps,340000,31.9999,0.3231,-0.144805,-0.0846625,-0.1127475,-0.183855,0,-0.2074925,1.5568512,1.0655416,390,34,-0.031908002,15.75882,1264,127,9857.1409,2390,0,0,0,0,0,12416,0,0,0,3444.6902,8922.3117,25360.437,7989,4353,3936.049,3948.9961,3953.9431,3970.1333,3203.232,-43368.366,5140.4337,-38227.932,-0.21666196,-32.502371,38.143612
fluence_0p5_100ps,350000,32.9999,0.2467,-0.1271325,-0.0995025,-0.052575,-0.1161425,0,-0.13978,1.5339104,1.0655416,387,47,-0.13341078,16.8606,1246,126,10223.736,2406,0,0,0,0,0,12415,0,0,0,3531.324,9076.2495,23022.126,8171,4427,3957.6299,3968.1864,3972.9535,3985.5118,3274.1335,-43273.381,5254.2139,-38019.167,-0.091844713,-34.309264,39.717001
fluence_0p5_100ps,360000,33.9999,0.3065,-0.1437475,-0.0949825,-0.0545375,-0.18408,0,-0.2077175,1.5354787,1.0655416,370,41,0.38738647,17.4415,1299,127,10907.682,2501,0,0,0,0,0,12415,0,0,0,3588.8481,9552.3365,25671.36,8148,4595,3974.8925,3988.6982,3993.2326,4005.7034,3343.1092,-43158.671,5364.9037,-37793.767,0.20155008,-34.093973,40.670018
fluence_0p5_100ps,370000,34.9999,0.3685,-0.1343675,-0.0915325,-0.10993,-0.1420925,0,-0.16573,1.5202466,1.0655416,390,35,-0.07233903,17.1577,1282,128,10311.15,2600,0,0,0,0,0,12416,0,0,0,3619.8131,9593.5325,24011.837,8236,4696,3993.9816,4004.8611,4008.2377,4018.7022,3408.3044,-43086.037,5469.5266,-37616.51,0.099003187,-34.043636,41.631838
fluence_0p5_100ps,380000,35.9999,0.4246,-0.1423,-0.0999025,-0.1350175,-0.1196825,0.015335,-0.14332,1.5187293,1.0655416,401,46,0.50460481,17.22141,1333,129,11246.325,2636,1,0,0,0,0,12416,0,0,0,3676.054,9722.2382,31094.074,8260,4714,4005.2647,4018.8828,4021.946,4037.5626,3458.6342,-43014,5550.2941,-37463.706,0.19731383,-34.169075,41.400733
fluence_0p5_100ps,390000,36.9999,0.4247,-0.1438775,-0.0869025,-0.15058,-0.1036425,0.0469375,-0.12728,1.5269701,1.0655416,414,55,0.65249327,18.21148,1352,131,11819.31,2763,1,0,0,0,0,12416,0,0,0,3669.377,9526.6054,30730.93,8275,4796,4011.458,4033.6506,4037.0174,4054.3915,3468.4015,-42866.969,5565.9683,-37301.001,0.058168717,-34.565363,41.486505
fluence_0p5_100ps,400000,37.9999,0.5947,-0.107245,-0.0415075,-0.0640275,-0.097135,0,-0.1207725,1.5092166,1.0655416,403,55,0.33077575,17.87724,1360,133,11475.547,2761,3,0,0,2,0,12412,3,4,2,3748.1435,9732.454,23770.463,8367,4826,4031.9909,4044.4566,4049.4142,4066.336,3478.3332,-42765.919,5581.9063,-37184.013,-0.31768078,-34.724955,40.645673
fluence_0p5_100ps,410000,38.9999,0.7562,-0.03938,-0.0077625,-0.0694725,-0.0731675,0,-0.096805,1.5198415,1.0655416,416,48,0.54071046,18.057855,1400,135,12157.314,2815,1,0,0,0,0,12416,0,0,0,3882.0851,10023.584,28064.599,8460,4956,4050.0859,4062.8624,4067.0202,4083.1736,3583.315,-42724.379,5750.3775,-36974.002,-0.10218913,-33.838481,40.677081
fluence_0p5_100ps,420000,39.9999,0.6982,-0.06037,-0.0105175,-0.05055,-0.025895,0.024655,-0.0495325,1.5100041,1.0655416,417,56,0.33657255,18.04835,1405,137,12082.577,2769,1,0,0,0,0,12415,0,0,0,3804.736,10186.794,26202.615,8433,4879,4061.3511,4071.3175,4075.2306,4085.9005,3563.3146,-42602.58,5718.2815,-36884.298,-0.50044642,-34.832223,41.132174
fluence_0p5_100ps,430000,40.9999,0.6141,-0.050625,-0.0138425,0.02525,-0.04244,0,-0.0660775,1.5108136,1.0655416,394,52,0.19387354,18.150765,1402,137,11896.318,2852,0,0,0,0,0,12415,0,0,0,3864.9284,9838.999,25804.348,8435,5000,4072.0085,4083.6789,4088.6095,4105.0871,3619.0149,-42553.393,5807.6673,-36745.725,-0.1011121,-34.612679,40.834365
fluence_0p5_100ps,440000,41.9999,0.6434,-0.094565,0.0004225,0.010775,-0.03819,0,-0.0618275,1.5075412,1.0655416,406,42,-0.057497738,17.4702,1361,137,11848.783,2911,0,0,0,0,0,12414,0,0,0,3922.1113,10404.998,24803.574,8584,5163,4090.2761,4099.2562,4105.345,4116.5522,3685.7864,-42482.948,5914.8199,-36568.128,-0.089953135,-34.208517,41.299013
fluence_0p5_100ps,450000,42.9999,0.6871,-0.03819,0.0026725,0.133875,-0.0499325,0,-0.07357,1.4941639,1.0655416,408,56,-0.24624609,17.12334,1341,137,11331.288,2908,1,0,0,0,0,12415,0,0,0,3930.2511,10071.991,30361.674,8614,5235,4099.3761,4109.3756,4115.4744,4131.7981,3743.9734,-42463.142,6008.1963,-36454.946,0.49873038,-34.136292,42.540495
fluence_0p5_100ps,460000,43.9999,0.7195,-0.0489,-0.0032875,-0.0177975,-0.0577925,0,-0.08143,1.5014005,1.0655416,410,46,0.011547086,17.723345,1353,137,11634.322,2916,0,0,0,0,0,12415,0,0,0,3982.3919,10411.024,28845.041,8604,5215,4098.8686,4116.1859,4120.1692,4131.5262,3741.6461,-42386.849,6004.4616,-36382.388,0.18881402,-34.737526,43.323594
fluence_0p5_100ps,470000,44.9999,0.6113,-0.04228,-0.0104925,-0.1071325,-0.0913875,0.015745,-0.115025,1.501284,1.0655416,430,46,0.14915387,18.01078,1371,136,11785.892,2895,1,0,0,0,0,12415,0,0,0,4017.7467,10610.986,31983.754,8568,5216,4114.7972,4122.0581,4127.1278,4141.5234,3781.8119,-42390.814,6068.9182,-36321.896,0.24048859,-34.282563,41.240563
fluence_0p5_100ps,480000,45.9999,0.707,-0.060845,-0.0261425,-0.030965,-0.0882025,0,-0.11184,1.5010808,1.0655416,418,43,0.14597964,18.283225,1382,137,12137.572,2908,1,0,3,3,0,12412,1,3,3,4034.4065,10602.719,28308.062,8571,5132,4114.5018,4124.8204,4126.9543,4138.874,3746.3419,-42311.692,6011.9973,-36299.695,0.22238346,-34.391453,42.355219
fluence_0p5_100ps,490000,46.9999,0.8891,-0.0648025,-0.0109575,0.0252025,-0.08809,0,-0.1117275,1.5171877,1.0655416,419,51,0.05166012,18.275085,1325,137,11883.074,3000,0,0,0,0,0,12415,0,0,0,3985.0937,10614.927,28100.96,8587,5216,4114.2852,4126.8112,4128.3376,4145.4804,3755.069,-42312.852,6026.0021,-36286.85,0.10327381,-34.198757,42.483321
fluence_0p5_100ps,500000,47.9999,0.8024,-0.05623,0.0231175,-0.0328675,-0.054705,0,-0.0783425,1.4978371,1.0655416,400,41,0.092305717,17.997305,1362,138,12186.482,3015,1,0,0,1,0,12413,1,1,1,4039.4453,10268.792,34054.542,8639,5302,4118.1716,4131.7341,4136.927,4145.7313,3779.231,-42301.844,6064.7765,-36237.068,0.1134656,-34.315422,41.953373
fluence_0p5_100ps,510000,48.9999,0.5787,-0.0403825,-0.0061825,0.0139275,-0.0455925,0,-0.06923,1.5062345,1.0655416,423,51,0.13755347,17.9083,1389,140,12239.138,2914,0,0,0,1,0,12415,1,1,1,3988.933,10416.757,31408.866,8586,5150,4118.5323,4133.8157,4136.883,4148.7965,3734.7801,-42216.846,5993.4432,-36223.402,0.063433684,-34.517667,42.028738
fluence_0p5_100ps,520000,49.9999,0.969,-0.0317275,-0.0008025,-0.0281925,-0.1003275,0,-0.123965,1.4743811,1.0655416,431,53,0.25296052,17.72443,1415,140,12456.835,3066,4,0,0,1,0,12412,1,1,1,4003.924,10641.003,29476.404,8527,5280,4128.9794,4143.3271,4147.1683,4158.8588,3783.1815,-42187.124,6071.1161,-36116.007,-0.21062399,-35.546789,41.440374
fluence_0p5_100ps,530000,50.9999,0.8535,-0.014495,0.0075175,-0.1416025,0.0234325,0.165035,-0.000205,1.5023381,1.0655416,421,42,0.18960051,18.489695,1437,141,12700.717,2984,4,0,0,1,0,12414,1,1,1,4030.9962,10186.477,29479.576,8609,5292,4127.4901,4145.9808,4147.3835,4154.5905,3773.6962,-42150.618,6055.8945,-36094.723,-0.35167608,-35.576201,41.030753
