case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,heated_surface_region_depth_nm,heated_surface_region_above_surface_nm,heated_surface_atom_count,continuous_field_min_atom_count_per_bin,stress_field_min_atom_count_per_bin,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_raw_max_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,atom_T_thermal_max_K,global_atom_T_thermal_mean_K,molten_atom_count,molten_atom_fraction,vapor_threshold_atom_count,vapor_threshold_atom_fraction,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,bulk_component_fraction,bulk_component_delta_count,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,20000,20,0.5858,0.291255,0.0494875,0.308505,-1.07395,-1.0244625,,0.23627617,0.038624788,3,0.5,17223,2,3,1.0169082,1532.9425,3766.757,14370.726,1449.552,3432.4996,12743.855,1567.948,56820,0.35609982,13651,0.085552951,,3115.362,3136.3119,3155.9676,3176.2815,1651.619,8281,10030,0,0,0,0,0,159562,1,0,0,-3.495519,4.8199156,11.182943,-651850.36,34064.44,-617785.92
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,21000,21,0.5973,0.3007925,0,0.3022,-0.9605,-1.00371,,0.24108659,0.034380306,3,0.5,17237,2,3,1.0250032,1576.5933,3901.6927,12536.593,1489.1998,3532.0972,13785.124,1625.4008,59155,0.37073363,15137,0.094865946,,3163.0867,3183.2059,3201.4846,3224.4341,1711.9206,8055,10901,0,0,0,0,0,159562,1,0,0,-3.4620914,4.822894,11.04062,-649979.06,35308.153,-614670.9
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,22000,22,0.6962,0.30795,0.01911,0.3070725,-0.95406,-0.93495,,0.23967176,0.037917374,3,0.5,17192,2,3,1.0291495,1627.6554,3998.5205,12052.53,1538.467,3640.294,10670.03,1684.8778,61770,0.38712225,16465,0.10318873,,3206.7678,3226.9691,3245.2687,3268.6237,1774.7582,8074,11408,0,0,0,0,0,159562,1,0,0,-3.5225447,4.7551204,11.254213,-648278.97,36604.171,-611674.8
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,23000,23,0.68,0.3130625,0.1171125,0.3097,-1.05872,-0.9416075,,0.23839842,0.032965478,3,0.5,17211,2,3,1.0349939,1667.7071,4084.6279,18049.822,1578.0139,3725.9686,16727.836,1745.6968,64770,0.40592372,17981,0.11268974,,3250.2432,3268.6192,3286.1819,3309.1231,1836.9104,8058,12068,0,0,0,0,0,159562,1,0,0,-3.7661143,5.175697,11.62746,-646632.05,37886.053,-608746
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,24000,24,0.6934,0.3255925,0.0755025,0.3195825,-1.04429,-0.9687875,,0.24858517,0.033248444,3,0.5,17163,2,3,1.0432282,1695.101,4134.6511,13284.156,1600.4127,3808.5694,13018.839,1800.5782,66988,0.41982427,19542,0.12247277,,3290.5241,3307.3261,3323.7663,3344.877,1895.7518,8059,12922,0,0,0,0,0,159562,1,0,0,-3.7662071,5.2084856,11.401887,-645056.6,39099.65,-605956.96
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,25000,25,0.7315,0.34106,0.02685,0.35001,-1.042,-1.01515,,0.25424448,0.033106961,3,0.5,17156,2,3,1.0561184,1726.0406,4224.1606,14944.066,1625.9636,3919.5511,15626.31,1851.3393,68976,0.43228338,20866,0.13077048,,3328.5677,3344.567,3360.1251,3382.0145,1951.2573,7939,13398,0,0,0,0,0,159562,1,0,0,-3.7842604,5.2220784,11.682828,-643450.83,40244.444,-603206.39
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,26000,26,0.8112,0.34906,0.08765,0.3827825,-1.00595,-0.9183,,0.25311262,0.031550651,3,0.5,17139,2,3,1.0725936,1768.5179,4348.3777,14179.097,1667.9723,4031.8391,13170.145,1891.9063,70272,0.44040561,21975,0.13772076,,3364.213,3379.762,3394.6524,3417.1133,1995.3082,7864,13999,0,0,0,0,0,159562,1,0,0,-4.0148072,5.2415386,12.110235,-641701.34,41152.989,-600548.35
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,27000,27,0.7105,0.3514625,0,0.3559575,-0.949685,-0.9540225,,0.25240521,0.029003962,3,0.5,17072,2,3,1.0893891,1813.6056,4438.7603,13000.464,1711.3214,4150.3065,12179.31,1945.3435,72582,0.45488274,23410,0.14671413,,3399.3179,3415.231,3430.667,3450.7161,2048.633,7948,14571,0,0,0,0,0,159562,1,0,0,-3.8668719,5.2867269,12.071052,-640059.92,42252.805,-597807.12
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,28000,28,0.7061,0.346945,0.04602,0.32091,-1.02293,-0.97691,,0.26117714,0.026598755,3,0.5,16996,2,3,1.1095309,1827.3508,4494.9076,14901.671,1726.7793,4219.6251,13462.154,1979.8671,73611,0.46133165,24458,0.15328211,,3435.7931,3451.6721,3466.9606,3485.1804,2083.843,7658,15024,0,0,0,1,0,159560,0.99998747,-2,1,-4.1369724,5.60432,12.166771,-637906.54,42979.009,-594927.53
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,29000,29,0.7972,0.37387,0.1059,0.39833,-0.99614,-0.89024,,0.24872666,0.023486135,3,0.5,16948,2,3,1.1345305,1831.839,4523.2187,16078.447,1725.0262,4197.4641,17089.724,2009.5359,74787,0.46870182,25072,0.15713014,,3471.9253,3488.3843,3504.0395,3525.0455,2116.8673,7757,15264,0,0,0,0,0,159561,0.99999373,-1,0,-4.2863446,5.4725202,12.234797,-635617.91,43660.129,-591957.78
fluence_0p5_30ps_ttm_periodic_slab_diagnostic,30000,30,0.904,0.3655475,0.079505,0.354295,-0.99979,-0.920285,,0.254103,0.024193548,3,0.5,16837,2,3,1.1603216,1870.8216,4547.0231,15908.479,1767.469,4309.4212,14311.999,2028.387,75554,0.47350873,25718,0.16117873,,3507.4325,3526.4816,3541.9086,3564.4492,2136.0855,7565,15449,0,0,0,0,0,159562,1,0,0,-4.6553674,5.1191244,12.090218,-632853.89,44056.504,-588797.39
