case,element_id,i,j,r_center_um,z_center_um,reason
ep_5p0uj_recoil_1000ms,7137,16,89,8.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7138,17,89,8.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7139,18,89,9.250000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7140,19,89,9.750000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7141,20,89,10.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7142,21,89,11.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7143,22,89,12.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7144,23,89,13.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7145,24,89,14.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7146,25,89,15.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7147,26,89,16.500000,4.975000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7201,0,90,0.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7202,1,90,0.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7203,2,90,1.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7204,3,90,1.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7205,4,90,2.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7206,5,90,2.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7207,6,90,3.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7208,7,90,3.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7209,8,90,4.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7210,9,90,4.750000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7211,10,90,5.250000,4.985000,pre-deleted vapor-zone element
ep_5p0uj_recoil_1000ms,7212,11,90,5.750000,4.985000,pre-deleted vapor-zone element
