case,step,time_ps,raw_lift_outlier_sensitive_nm,robust_p95_lift_nm,center_crater_depth_nm,rim_lift_nm,center_surface_z_p95_nm,edge_surface_z_p95_nm,bin_density_mean_check_initial,low_density_area_fraction,void_area_fraction,neighbor_density_surface_mean,atom_T_raw_mean_K,atom_T_raw_p95_K,atom_T_thermal_mean_K,atom_T_thermal_p95_K,ejecta_T_thermal_mean_K,Te_min_K,Te_mean_K,Te_p95_K,Te_max_K,thermo_Tl_K,upward_atoms,vapor_candidate_count,detached_candidate_count,stable_ejecta_count,cluster_ejecta_count,largest_ejecta_cluster_size,ejected_mass_fraction,bulk_component_size,detached_atom_count,pressure_GPa_p01,pressure_GPa_p99,von_mises_stress_GPa_p99,thermo_pe_eV,thermo_ke_eV,thermo_total_eV
fluence_0p5_100ps,280000,25.9999,-0.0338,-0.352355,0,-0.3683075,-0.9393825,-0.97839,,0.22985075,0.037313433,1.5596417,2567.3218,6741.0479,2155.5555,5698.054,,3773.8266,3783.2034,3796.4438,3806.1426,2755.5568,681,1546,0,0,0,0,0,12414,0,-11.346299,12.659673,20.383993,-44441.604,4422.0203,-40019.584
fluence_0p5_100ps,290000,26.9999,0.079,-0.3320725,0,-0.4099275,-0.7873275,-0.90007,,0.24104478,0.021641791,1.5678699,2567.5081,6377.1794,2206.7785,5725.0315,,3801.1593,3813.2346,3817.8847,3825.6412,2838.8243,682,1643,0,0,0,0,0,12416,0,-10.316348,12.983366,20.559693,-44258.115,4555.645,-39702.47
fluence_0p5_100ps,300000,27.9999,0.1026,-0.1983125,0,-0.2848875,-0.75385,-0.821815,,0.24253731,0.015671642,1.5775616,2636.1764,7004.8275,2256.6777,6133.6877,,3837.5842,3847.4848,3855.7678,3867.2229,2930.6841,686,1748,0,0,0,0,0,12416,0,-11.845298,12.701357,21.25025,-44036.718,4703.0584,-39333.659
fluence_0p5_100ps,310000,28.9999,0.2403,-0.1522525,0,-0.1782875,-0.66825,-0.75561,,0.23358209,0.01119403,1.5801722,2719.8883,7160.5014,2338.491,6290.3493,,3871.9031,3879.2719,3887.5684,3899.9102,3013.1639,694,1773,0,0,0,0,0,12415,0,-11.646406,13.546649,21.157107,-43821.648,4835.4191,-38986.229
fluence_0p5_100ps,320000,29.9999,0.4451,0.005455,0,-0.0834925,-0.56807,-0.60178,,0.23507463,0.0052238806,1.5356648,2816.4745,7705.6058,2381.2285,6675.8643,,3897.7184,3908.7007,3917.9647,3933.6511,3081.9151,712,1874,0,0,0,0,0,12416,0,-12.140226,12.056581,20.803696,-43605.01,4945.7486,-38659.261
fluence_0p5_100ps,330000,30.9999,0.4448,0.008525,0,0.0109225,-0.6026225,-0.6686575,,0.22910448,0.0044776119,1.5290706,2962.365,8403.2493,2489.1886,7324.4378,,3915.2236,3929.0042,3934.0027,3944.255,3141.9912,675,1875,0,0,0,0,0,12414,0,-11.686194,12.423148,21.126853,-43485.403,5042.1566,-38443.246
fluence_0p5_100ps,340000,31.9999,0.3526,-0.0371,0,-0.07602,-0.566015,-0.697175,,0.22462687,0.0037313433,1.5697755,2856.2665,7903.9843,2431.672,6619.6716,,3936.049,3948.9961,3953.9431,3970.1333,3203.232,619,1966,0,0,0,0,0,12416,0,-11.688258,12.893821,21.375439,-43368.366,5140.4337,-38227.932
fluence_0p5_100ps,350000,32.9999,0.2762,-0.0381725,0,-0.0807425,-0.61358,-0.6141625,,0.22164179,0.0059701493,1.544326,2969.3325,7499.1777,2528.0145,6485.914,,3957.6299,3968.1864,3972.9535,3985.5118,3274.1335,620,2029,0,0,0,0,0,12415,0,-11.23254,14.246931,22.702371,-43273.381,5254.2139,-38019.167
fluence_0p5_100ps,360000,33.9999,0.336,0.0143325,0,-0.1337375,-0.474315,-0.68483,,0.22014925,0.0067164179,1.5276064,2967.3779,7981.4444,2543.2696,7173.0235,,3974.8925,3988.6982,3993.2326,4005.7034,3343.1092,666,2073,0,0,0,0,0,12415,0,-12.591897,13.948851,22.207736,-43158.671,5364.9037,-37793.767
fluence_0p5_100ps,370000,34.9999,0.398,0.019125,0,-0.00927,-0.51971,-0.56477,,0.22835821,0.002238806,1.5125431,2994.6701,8273.9247,2548.5934,7168.4024,,3993.9816,4004.8611,4008.2377,4018.7022,3408.3044,633,2129,0,0,0,0,0,12416,0,-12.15183,14.15161,21.424119,-43086.037,5469.5266,-37616.51
fluence_0p5_100ps,380000,35.9999,0.4541,0.0669125,0,0.02801,-0.56101,-0.59751,,0.22910448,0.0059701493,1.5161141,3021.6887,7833.1271,2575.0756,7446.2837,,4005.2647,4018.8828,4021.946,4037.5626,3458.6342,659,2157,0,0,0,0,0,12416,0,-13.316802,14.637533,22.429388,-43014,5550.2941,-37463.706
fluence_0p5_100ps,390000,36.9999,0.4542,0.054545,0,-0.01467,-0.33516,-0.55245,,0.22164179,0.0074626866,1.5360435,3029.992,7875.6538,2569.4678,6820.4352,,4011.458,4033.6506,4037.0174,4054.3915,3468.4015,667,2213,0,0,0,0,0,12416,0,-11.466609,12.603202,21.344854,-42866.969,5565.9683,-37301.001
fluence_0p5_100ps,400000,37.9999,0.6242,0.166665,0,0.025205,-0.3199325,-0.5452075,,0.24029851,0.0037313433,1.5126987,3120.5624,8777.8316,2637.8781,7521.6791,,4031.9909,4044.4566,4049.4142,4066.336,3478.3332,691,2245,0,0,0,2,0,12412,3,-12.411162,13.455766,21.47816,-42765.919,5581.9063,-37184.013
fluence_0p5_100ps,410000,38.9999,0.7857,0.1649925,0,0.0674125,-0.34192,-0.49518,,0.23880597,0.0029850746,1.5294842,3141.5539,8621.6038,2710.7871,7697.2379,,4050.0859,4062.8624,4067.0202,4083.1736,3583.315,694,2242,0,0,0,0,0,12416,0,-12.307359,13.882603,21.14798,-42724.379,5750.3775,-36974.002
fluence_0p5_100ps,420000,39.9999,0.7277,0.2527825,0,0.2550875,-0.3328225,-0.3874125,,0.22238806,0.0037313433,1.5146128,3185.3388,8663.9371,2687.5635,7572.8982,,4061.3511,4071.3175,4075.2306,4085.9005,3563.3146,716,2220,0,0,0,0,0,12415,0,-12.413367,13.194944,21.928269,-42602.58,5718.2815,-36884.298
fluence_0p5_100ps,430000,40.9999,0.6436,0.213005,0.01583,0.18662,-0.37664,-0.36081,,0.25074627,0.0037313433,1.5234131,3144.5639,8354.4253,2683.7095,7252.5429,,4072.0085,4083.6789,4088.6095,4105.0871,3619.0149,692,2258,0,0,0,0,0,12415,0,-12.987107,13.055081,22.545606,-42553.393,5807.6673,-36745.725
